Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.6048349913428811,0.7521587014198303,545.8841731039327,1425.82499414794,0.7748202681541443,510.5253686797753,1487.3556004213483,0.6682268381118774,566.9103318117977,1491.6827598314608,0.9600020051002502,426.0581987359551,1419.4304482677903,0.739997923374176,474.63234433520597,1430.77656835206,0.5134502649307251,452.9764308286517,1173.057262406367,0.3841365575790405,533.5903850655432,1183.0246371722847,0.1598464846611023,249.82414559925098,1038.4200169709738,0.7045450210571289,260.0242860486892,1047.40702539794,0.9409406185150146,279.9350421348315,227.63523744733146,0.4330440163612366,748.732590121723,1123.7597290496255,0.7231948971748352,494.1722992743446,764.6182262406368,0.23413562774658203,610.690396769663,725.912189840824,0.7194884419441223,957.2666491104869,722.7724865402622,0.5193910598754883,261.2025983146068,1014.3295002340824,0.7407817840576172,720.8938290028091,1127.7215004681648,0.3140343427658081,725.7990987827716,1125.775471090824
1,0.5939202869639677,0.8566203117370605,564.9335059691011,1438.8026685393259,0.8816056251525879,510.7200959737828,1495.8576193820224,0.5360889434814453,609.1539384363296,1487.7567591292136,0.8973872661590576,398.7873800327716,1477.623917368914,0.4927683174610138,571.0873127340824,1228.3314314138577,0.6108587384223938,422.67117275280907,1315.4375877808989,0.5139352083206177,512.5327715355805,1152.6778294709738,0.2041107416152954,302.2204909878277,623.2989524812734,0.7404159307479858,256.8123098080524,1035.9873156601125,0.9649235010147095,738.8058140215355,1128.0254418305244,0.2099495828151703,749.1477206226591,1127.728669241573,0.3175475597381592,821.5089536516855,1093.9421670177903,0.24804028868675232,530.087268843633,401.6996576544944,0.7847528457641602,429.09110194288394,339.66613998127343,0.9076045751571655,543.7955729166667,1175.3234726123596,0.7933028340339661,720.0572038857679,1133.8218340355807,0.13673260807991028,705.9151158707866,1131.1758251404494
2,0.6388849931604722,0.7804088592529297,561.1845300795881,1443.916491104869,0.8663644194602966,501.8032391151686,1484.3049215823971,0.7454094886779785,571.4755969101124,1491.5275339419477,0.9725804328918457,391.4210264513109,1460.8848314606741,0.552488386631012,491.9662189840824,1446.0693176498128,0.796731173992157,431.2332484784645,1332.4846383426966,0.48124822974205017,701.2459035580525,1344.6798923220974,0.32382524013519287,279.52920177902627,393.6050883661049,0.6909657120704651,254.43125292602997,1053.6652182818352,0.9810588359832764,737.3732297518727,1128.0848402387642,0.30330246686935425,744.6076193820224,1130.3082572565543,0.503407895565033,826.5979049625469,1109.846017673221,0.2944704294204712,539.8553809691011,390.7198399461611,0.789797842502594,845.2194522471912,1089.983760533708,0.8645119667053223,571.3576047518727,1163.6189138576779,0.7619526386260986,723.9853991104869,1135.994923338015,0.15252086520195007,709.8724982443821,1129.6883046582398
3,0.5861788374536178,0.857616662979126,571.6649841994382,1436.9008953651685,0.8403593301773071,521.4072009597379,1500.06642088015,0.63469398021698,565.25390625,1493.0879857209738,0.9553710222244263,386.12520482209743,1473.9274637172284,0.29237717390060425,496.492421582397,1448.366251170412,0.45895302295684814,400.8721763810862,1300.5162979868915,0.3594004213809967,710.0025602762173,1428.6759714419477,0.27152931690216064,276.33112418071164,620.9190660112359,0.5864970684051514,265.3035024578652,1054.4019194756554,0.9701002836227417,745.0670060861423,1118.1056882022472,0.313113272190094,271.4170763108615,818.7547547986892,0.5017990469932556,831.9165496254682,1113.2614261470037,0.5404576063156128,469.1383573267791,973.9501404494382,0.7453387975692749,851.7202130149813,1071.5379944990636,0.8111432790756226,573.5505910580524,1175.9475948033707,0.7233000993728638,724.2787336142324,1132.4750555945693,0.10298985242843628,716.7245289091761,1126.647720622659
4,0.6189109893406138,0.7213454842567444,562.126492275281,1443.374297752809,0.9670159220695496,500.8215560627341,1498.2079529494383,0.6828062534332275,569.3425210674158,1503.4554950842696,0.9857686758041382,401.2605337078652,1466.541725187266,0.9030942916870117,465.5476065074906,1450.3138167134832,0.49465009570121765,420.0150690543071,1218.356814723783,0.36113548278808594,725.5315864934457,1426.1772881554307,0.30603259801864624,288.44218164794006,610.1437777972847,0.678559422492981,275.08792720037457,1048.934998244382,0.9284566044807434,265.9963863529963,229.92072287570227,0.23702147603034973,759.3978230337079,1119.383119733146,0.4369414150714874,829.1257022471912,1103.5720973782772,0.25523805618286133,560.7763488998128,366.8069698033708,0.8013129234313965,452.87855512640454,335.12750175561797,0.757312536239624,266.4754506086142,1016.648671582397,0.8141378164291382,731.0652212078653,1126.4450198970037,0.19065776467323303,705.4168129681648,1112.9511206694756
5,0.6156392027350033,0.9268437623977661,588.4917778558053,1422.9700667134832,0.9111517667770386,522.9213483146068,1487.8692649812735,0.6767682433128357,638.1116865636704,1482.0789442883895,0.9862000346183777,396.5159761235956,1458.4415964419477,0.6361539959907532,481.1548308754682,1438.6616338951312,0.3924531936645508,417.066801264045,1207.7565396769664,0.425980806350708,701.9699496722847,1372.3955407303372,0.2381691336631775,286.0331811797753,608.8251623946629,0.8115432262420654,286.124765917603,1068.111174508427,0.8601380586624146,765.1590297284645,1112.1477059925094,0.21973857283592224,313.4474485018727,243.4774768843633,0.8095313310623169,839.3050678838952,1115.7626697097378,0.2798840403556824,806.7606653792136,1117.0490987827716,0.6511967182159424,270.2762172284645,1076.831329002809,0.5887819528579712,265.1840472846442,1051.2079383192884,0.8975911736488342,735.5034234550562,1144.200242860487,0.15374043583869934,700.3872600655432,1122.1016210205994
6,0.6341757125714246,0.9260894060134888,587.8751170411986,1430.1774637172284,0.8833990693092346,547.503438085206,1495.1357677902622,0.7948206663131714,617.4901977996255,1510.691713483146,0.9232834577560425,439.77279377340824,1444.0873712546818,0.24318432807922363,678.2407244850187,1483.5103581460676,0.7605510950088501,435.10643433988764,1235.129623127341,0.5435488820075989,819.1801264044943,1283.9207338483147,0.29505082964897156,316.1881144662922,622.513825491573,0.6542632579803467,278.17386470037457,1060.7872483614233,0.9522625803947449,771.9475655430713,1121.9512230805244,0.46106863021850586,725.7413828417602,1331.5821044007491,0.7809823155403137,849.0424566947565,1113.2280694054307,0.3137895464897156,541.1794826779027,405.33576193820227,0.6222298741340637,927.6151392790262,798.3108760533709,0.6442922353744507,430.84701252340824,314.4901758544008,0.8388833403587341,729.99297752809,1134.4858233848315,0.14328759908676147,332.18150163857683,228.39889469218164
7,0.6141828386222615,0.9076379537582397,604.7478493679776,1449.4752165262173,0.865622878074646,548.4837312734082,1494.9259714419477,0.8993759155273438,619.7265625,1497.3156601123596,0.8213605880737305,451.60039208801504,1436.6571570692884,0.17942079901695251,696.3128364934457,1453.0186388108614,0.8038907051086426,466.44999414794006,1192.8740929307116,0.4990587532520294,757.8349572799625,1328.1270482209738,0.7045964002609253,324.4897003745318,603.807971968633,0.49416786432266235,303.3965355805244,1061.0632461376406,0.9624589681625366,782.9538272471912,1108.205538974719,0.26806631684303284,445.75001463014985,1162.0350538389514,0.6717737913131714,850.8677141853932,1107.0706051029963,0.46556416153907776,830.5401451310861,1125.8429892322097,0.6630131602287292,963.4072155898878,764.4562704822098,0.3056548833847046,292.9731390449439,1054.4706811797753,0.7821391224861145,749.4019926264045,1140.9552024812735,0.14730599522590637,727.9187880383895,1146.161341292135
8,0.579242955235874,0.6240366697311401,610.0346003043071,1417.0637289325844,0.8725817203521729,571.3891327247192,1475.0842696629213,0.6211840510368347,616.5317035346443,1463.9638927902622,0.9414781332015991,479.5235691713483,1438.541959269663,0.9319360852241516,493.76675152153564,1432.1130325374531,0.26163768768310547,464.8245845037453,1386.5389454588014,0.22358867526054382,542.8996225421349,-21.296926205524347,0.2563886046409607,292.5066567181648,1049.1586932350187,0.8173359632492065,304.00112652153564,1055.2315952715355,0.9541299343109131,776.7778558052435,1119.1848812031835,0.4667838513851166,787.2991280430713,1122.5820019897003,0.49844446778297424,853.5731214887642,1103.0337810159176,0.21821370720863342,515.9989466292135,419.12248361423224,0.5276288986206055,869.1880266853932,1129.677112593633,0.38714540004730225,293.7489758895131,1011.4455319522473,0.86082923412323,757.1813553370787,1132.9491455992509,0.3837871551513672,756.3042047050562,1130.0891707631085
9,0.6060611097251668,0.899528443813324,624.9336522705994,1403.5186973314608,0.8928759098052979,581.3918393024345,1483.7122542134832,0.976050853729248,688.2677171114233,1484.7486540262173,0.9701628088951111,440.11162804307116,1449.1435510299625,0.8817035555839539,500.78073794475654,1423.6399812734082,0.4201841354370117,384.57433579119856,1205.3765800561798,0.16288188099861145,574.9251667837079,-37.56896744060159,0.2873646914958954,323.88013518258424,1035.0882929541199,0.6858172416687012,341.2984257958801,1040.462897940075,0.9479788541793823,797.6470330056179,1114.194756554307,0.32753902673721313,795.375629096442,1116.3447302200375,0.5249406099319458,851.5573794475656,1100.5214185393259,0.2337336242198944,347.017497659176,1014.5675327715356,0.6035161018371582,312.3734492041199,1033.3004154962548,0.41512399911880493,317.46364407771534,1052.7626843398878,0.8501982688903809,769.0298747659176,1118.9210264513108,0.22343885898590088,721.3306852762173,1109.2466204353932
